username,full_name,followers,pais,label
realdonaldtrump,President Donald J. Trump,33777720,EUA,President Donald J. Trump (EUA)
jairmessiasbolsonaro,Jair M. Bolsonaro,26585130,Brasil,Jair M. Bolsonaro (Brasil)
nikolasferreiradm,Nikolas Ferreira,17536683,Brasil,Nikolas Ferreira (Brasil)
forbesbr,Forbes Brasil,8156545,Brasil,Forbes Brasil (Brasil)
bolsonarosp,Eduardo Bolsonaro🇧🇷,6240226,Brasil,Eduardo Bolsonaro🇧🇷 (Brasil)
bolsonarosp,Eduardo Bolsonaro🇧🇷,6240225,Brasil,Eduardo Bolsonaro🇧🇷 (Brasil)
bolsonarosp,Eduardo Bolsonaro🇧🇷,6240223,Brasil,Eduardo Bolsonaro🇧🇷 (Brasil)
javiermilei,Javier Milei,6040211,Argentina,Javier Milei (Argentina)
javiermilei,Javier Milei,6040199,Argentina,Javier Milei (Argentina)
patrickbetdavid,Patrick Bet-David,5106059,EUA,Patrick Bet-David (EUA)
